owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of the Interior,Department of the Interior,FY2023P12,014-5053,"Operation and Maintenance of Quarters, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,1219309,0,310216.21,0,0,0,0,1529525.21,230487.65,0,1299037.56,216801.37,1529525.21,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5055,"Operation and Maintenance of Quarters, Geological Survey",Department of the Interior,Natural Resources and Environment,Other natural resources,203746.4,0,59995.94,0,0,0,0,263742.34,27142.45,0,236599.89,23860.77,263742.34,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5058,"Operation, Maintenance, and Replacement of Project Works, North Platte Project (Gering and Fort Laramie, Goshen, and Pathfinder Irrigation Districts), Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,45894.09,0,2075.74,0,0,0,0,47969.83,0,0,47969.83,0,47969.83,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5063,"Regulation and Technology, Civil Penalties, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Natural Resources and Environment,Conservation and land management,873878.51,200000,452933.29,0,0,0,0,1526811.8,0,200000,1526811.8,0,1526811.8,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5065,"Policy and Administration, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,20807862.97,-132658.37,65079000,0,0,0,0,85754204.6,72748220.09,263163.8,13005984.51,72112725.91,85754204.6,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5076,"Delaware Water Gap Route 209 Operations, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,14217.26,0,5800,0,0,0,0,20017.26,11902.14,0,8115.12,11902.14,20017.26,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5091,"National Wildlife Refuge Fund, United States Fish and Wildlife Service",Department of the Interior,General Government,General purpose fiscal assistance,6113237.76,33124.03,8013994.47,0,0,0,0,14160356.26,9027426.01,33124.03,5132930.25,9000596.58,14160356.26,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5092,"Proceeds from Sales, Water Resource Development Projects, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,584267.41,26381.76,227311.66,0,0,0,0,837960.83,383149.23,26381.76,454811.6,367128.15,837960.83,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5103,"Payments to Local Units, Klamath Reclamation Area, Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,1.41,0,0,0,0,0,0,1.41,0,0,1.41,0,1.41,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5109,"Recreation Enhancement Fee Program, Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,2026275.19,165981.2,1202025.34,0,0,0,0,3394281.73,890878.88,165981.2,2503402.85,1157182.12,3394281.73,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5110,"Recreation Enhancement Fee Program, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,450698460.09,5148835.12,358155863.79,0,0,10000000,10000000,824003159,485023405.29,5148835.12,338979753.71,335646535.57,824003159,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5129,"Payments to State and County from Clark County, Nevada Land Sales, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,0,0,5949387,0,0,0,0,5949387,5949387,0,0,5949387,5949387,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5130,"Indian Arts and Crafts Fund, Departmental Management",Department of the Interior,Natural Resources and Environment,Other natural resources,582566.98,0,38285.35,0,0,0,0,620852.33,9166.75,0,611685.58,12002.34,620852.33,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5132,"Range Improvements, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,14849412.23,383948.41,9430000,0,0,0,0,24663360.64,6595467.79,383948.41,18067892.85,6689003.9,24663360.64,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5133,"Payments to States (Proceeds of Sales), Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,386332.47,0,99566,0,0,0,0,485898.47,0,0,485898.47,0,485898.47,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5134,"Payment to Oklahoma (Royalties), Office of Natural Resources Revenue, Interior",Department of the Interior,Natural Resources and Environment,Water resources,0,0,10008.31,0,0,0,0,10008.31,10008.31,0,0,10008.31,10008.31,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5137,"Migratory Bird Conservation Account, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Recreational resources,13332652.71,69748.23,103412140.81,0,0,0,0,116814541.75,103558688.59,69748.23,13255853.16,129020077.63,116814541.75,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5140,"Historic Preservation Fund, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,110158021.27,678748.25,204515000,0,0,0,0,315351769.52,187000032.68,2815214.98,128351736.84,120178842.69,315351769.52,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5141,"National Indian Gaming Commission, Gaming Activity Fees",Department of the Interior,General Government,General purpose fiscal assistance,9827098.8,0,27384161.35,0,0,0,0,37211260.15,25586739.17,0,11624520.98,24240134.41,37211260.15,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5143,"Cooperative Endangered Species Conservation Fund, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,20677462.2,2528445.2,124877085.12,0,0,0,0,148082992.52,127709424.7,2528445.2,20373567.82,123526124.77,148082992.52,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5157,"Lahontan Valley and Pyramid Lake Fish and Wildlife Fund, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,2796194.81,0,85000,0,0,0,0,2881194.81,1404475.75,0,1476719.06,898855.24,2881194.81,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5163,"Park Buildings Lease and Maintenance Fund, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,35342890.05,381097,10790190.21,0,0,0,0,46514177.26,15709285.41,381097,30804891.85,8469122.92,46514177.26,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5164,"Transportation Systems Fund, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,6582715.98,194483.11,301899,0,0,0,0,7079098.09,5783478.17,194483.11,1295619.92,6080486.32,7079098.09,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5165,"Forest Ecosystems Health and Recovery, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,51626908.24,843826.26,44415321.64,0,0,0,0,96886056.14,15546448.15,843826.26,81339607.99,12066704.34,96886056.14,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5169,"Concessioner Improvement Accounts, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,12288738.5,0,9891839.36,0,0,0,0,22180577.86,11101979.64,0,11078598.22,11101979.64,22180577.86,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5173,"Central Valley Project Restoration Fund, Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,3109619.5,12078672.82,41068643.23,0,0,0,0,56256935.55,49394682.5,12078672.82,6862253.05,35174858.43,56256935.55,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5174,"Utah Reclamation Mitigation and Conservation Account, Interior",Department of the Interior,Natural Resources and Environment,Water resources,17125627.18,857975.07,8833114.13,0,0,0,0,26816716.38,12607644.52,857975.07,14209071.86,11608082.45,26816716.38,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5198,"Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary",Department of the Interior,Natural Resources and Environment,Conservation and land management,2464319734.06,-71359720.48,607478105.95,0,0,0,0,3000438119.53,779148470.82,6456699.69,2221289648.71,752249342.58,3000438119.53,2023-11-13
Department of the Interior,Department of Agriculture;Department of the Interior;Department of Transportation,FY2023P12,014-5232,"Southern Nevada Public Land Management, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,1365897725.14,2095852.42,221040673.58,0,0,0,0,1589034251.14,175461322,2095852.42,1413572929.14,38756915.59,1589034251.14,2023-11-17
Department of the Interior,Department of the Interior,FY2023P12,014-5240,"Operation and Maintenance, Indian Irrigation Systems, Bureau of Indian Affairs (T)",Department of the Interior,Community and Regional Development,Area and regional development,54763365.05,1110687.23,38819163.86,0,0,7080,7080,94700296.14,37411380.12,1110687.23,57288916.02,33994955.79,94700296.14,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5241,"North American Wetlands Conservation Fund, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,9997529.16,819833.51,51865723.07,0,0,0,0,62683085.74,15960658.21,819833.51,46722427.53,49824403.43,62683085.74,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5242,"Alaska Resupply Program, Bureau of Indian Affairs",Department of the Interior,Community and Regional Development,Area and regional development,36200,0,355371.76,0,0,0,0,391571.76,312041.6,0,79530.16,486712.63,391571.76,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5243,"Payments to States, National Forest Fund, Office of Natural Resources Revenue, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,0,0,6958984.02,0,0,0,0,6958984.02,6958984.02,0,0,6958984.02,6958984.02,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5247,"User Fees for Filming and Photography on Public Lands, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,6797915.89,0,556766.42,0,0,0,0,7354682.31,1302245.17,0,6052437.14,786362.94,7354682.31,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5248,"Payments to States, Flood Control Act of 1954, Office of Natural Resources Revenue, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,0,0,54753698.54,0,0,0,0,54753698.54,54753698.54,0,0,54753698.54,54753698.54,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5249,"Timber Sales Pipeline Restoration Fund, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,15992292.82,5421.35,4228129.11,0,0,0,0,20225843.28,2548738.89,5421.35,17677104.39,2270188.06,20225843.28,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5252,"Recreation Fee Enhancement Program, U.S. Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Recreational resources,18331431.58,289587.11,6780697.94,0,0,0,0,25401716.63,8573938.11,289587.11,16827778.52,6238452.57,25401716.63,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5260,"Federal Land Disposal Account, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,17514270.96,84941.87,736354.04,0,0,0,0,18335566.87,41090.05,84941.87,18294476.82,16129.85,18335566.87,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5265,"Tribal Special Fund, Bureau of Trust Funds Administration, Interior",Department of the Interior,Community and Regional Development,Area and regional development,81844435.71,0,403048333.89,0,0,0,0,484892769.6,469606128.69,0,15286640.91,469606128.69,484892769.6,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5294,"Use of Receipts from Mineral Leasing Activities on Certain Naval Oil Shale Reserves, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,3121.68,0,0,0,0,0,0,3121.68,0,0,3121.68,0,3121.68,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5397,"White Pine County Special Account, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,22507.18,0,0,0,0,0,0,22507.18,6070.89,0,16436.29,5919.49,22507.18,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5413,"Recreation Enhancement Fee Program, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,33479102.46,784307.24,31098483.51,0,0,0,0,65361893.21,32436496.68,784307.24,32925396.53,31244973.3,65361893.21,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5430,"Water and Related Resources, Reclamation Fund, Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5431,"Park Concessions Franchise Fees, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,289378277.32,1822215.79,159724397.68,0,0,0,0,450924890.79,142282670.48,1822215.79,308642220.31,110078011.55,450924890.79,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5469,"Lincoln County Land Act, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,28635495.36,19850.92,1102566.19,0,0,0,0,29757912.47,2587998.86,19850.92,27169913.61,1338557.19,29757912.47,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5474,"State and Tribal Wildlife Grants, U.S. Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,42943580.09,6511764.63,73812000,0,0,0,0,123267344.72,78474850.76,6511764.63,44792493.96,70763721.61,123267344.72,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5479,"Cooperative Endangered Species Conservation Fund, from Land and Water Conservation Fund, U.S. Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,59098309.47,9150482.75,32800000,0,0,0,0,101048792.22,72143595.24,9150482.75,28905196.98,32410176.45,101048792.22,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5483,"San Gabriel Basin Restoration Fund, Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,259888.04,0,10000000,0,0,0,0,10259888.04,10011063.36,0,248824.68,19745446.56,10259888.04,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5485,"Title II Projects on Federal Lands, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,3979824.06,258741.97,2450832.42,0,0,0,0,6689398.45,2243671.63,258741.97,4445726.82,2394591.57,6689398.45,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5488,"Payments to Alaska, Arctic National Wildlife Refuge, Office of Natural Resources Revenue, Interior",Department of the Interior,General Government,General purpose fiscal assistance,0,0,104240.18,0,0,0,0,104240.18,104240.18,0,0,104240.18,104240.18,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5496,"Landowner Incentive Program, U.S. Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,0,224401.33,0,0,0,0,0,224401.33,0,224401.33,224401.33,100000,224401.33,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5501,"Community Partnership Enhancement, U.S. Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,1340.31,0,0,0,0,0,0,1340.31,378.7,0,961.61,378.7,1340.31,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5505,"Indian Water Rights and Habitat Acquisition Program, Bureau of Indian Affairs",Department of the Interior,Natural Resources and Environment,Recreational resources,2980500,0,0,0,0,0,0,2980500,0,0,2980500,0,2980500,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5506,"Stewardship Contracting Product Sales, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,349153.35,0,16388,0,0,0,0,365541.35,65166.55,0,300374.8,71349.98,365541.35,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5535,"State's Share from Certain Gulf of Mexico Leases, Office of Natural Resources Revenue, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,0,0,353211836.08,0,0,0,0,353211836.08,353211836.08,0,0,353211836.08,353211836.08,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5536,"Outer Continental Shelf Revenues, LWCF Share from Certain Leases, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,158171901.93,803648.83,117875000,0,0,0,0,276850550.76,89023819.07,803648.83,187826731.69,30967345.26,276850550.76,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5537,"San Joaquin River Restoration Fund, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,258570058.84,1492650.26,15905229.29,0,0,0,0,275967938.39,25289.63,1492650.26,275942648.76,623884.43,275967938.39,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5554,"Washington County, Utah Land Acquisition Account, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,1227709.21,0,0,0,0,0,0,1227709.21,0,0,1227709.21,0,1227709.21,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5556,"Owyhee Land Acquisition Account, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,449786.7,0,0,0,0,0,0,449786.7,0,0,449786.7,0,449786.7,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5558,"Carson City Special Account, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,75476.75,0,0,0,0,0,0,75476.75,1631.47,0,73845.28,1631.47,75476.75,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5559,"Silver Saddle Endowment Account, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,359497.86,0,0,0,0,0,0,359497.86,3754.43,0,355743.43,3754.43,359497.86,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5561,"State Share, Carson City Land Sales, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,3.15,0,0,0,0,0,0,3.15,0,0,3.15,0,3.15,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5571,"Departmental Operations, Land and Water Conservation Fund, Departmental Offices, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,6511478.62,151991.4,19000000,0,0,0,0,25663470.02,21564373.44,151991.4,4099096.58,20451502.64,25663470.02,2023-11-13
Department of the Interior,Department of Agriculture;Department of the Interior;Environmental Protection Agency,FY2023P12,014-5573,"Permit Processing Fund, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,112082886.3,601508.95,51779128.21,0,0,0,0,164463523.46,40721637.73,601508.95,123741885.73,34824734.51,164463523.46,2023-11-17
Department of the Interior,Department of the Interior,FY2023P12,014-5574,"Geothermal Lease Revenues, Payment to Counties, Office of Natural Resources Revenue, Interior",Department of the Interior,General Government,General purpose fiscal assistance,0,0,6152907.52,0,0,0,0,6152907.52,6152907.52,0,0,6152907.52,6152907.52,2023-11-13
Department of the Interior,Department of Agriculture;Department of the Interior,FY2023P12,014-5575,Geothermal Steam Implementation Fund,Department of the Interior,Natural Resources and Environment,Conservation and land management,41561.96,0.34,0,0,0,0,0,41562.3,0.34,0.34,41561.96,0.34,41562.3,2023-11-17
Department of the Interior,Department of the Interior,FY2023P12,014-5576,Naval Petroleum Reserve Numbered 2 Lease Revenue Account,Department of the Interior,Natural Resources and Environment,Conservation and land management,480983.25,0,5066,0,0,0,0,486049.25,21789.36,0,464259.89,21789.36,486049.25,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5579,"Coastal Impact Assistance, Fish and Wildlife Service, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,4758612.64,0,0,0,0,0,0,4758612.64,125036.65,0,4633575.99,119682.91,4758612.64,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5593,"Reclamation Water Settlements Fund, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,466049310.06,49054.02,140905037.02,0,0,0,0,607003401.1,51121647.2,49054.02,555881753.9,19869595.65,607003401.1,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5612,"Ojito Land Acquisition, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,324976,0,0,0,0,0,0,324976,0,0,324976,0,324976,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5620,"Navajo Utah Settlement Trust Fund, Bureau of Indian Affairs, Interior",Department of the Interior,Community and Regional Development,Area and regional development,0,39114030,0,0,0,0,0,39114030,39114000,0,30,39114000,39114030,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5621,"Operation and Maintenance of Quarters, Bureau of Indian Education, Interior",Department of the Interior,Community and Regional Development,Area and regional development,67268.57,5999.13,31822.85,0,0,0,0,105090.55,15298.34,5999.13,89792.21,6867.38,105090.55,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5624,"Aging Infrastructure Account, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,91843312.57,0,739500000,0,0,0,0,831343312.57,29484022.72,0,801859289.85,20149197.59,831343312.57,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5637,"High-Hazard Indian Dam Safety Deferred Maintenance Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Community and Regional Development,Area and regional development,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5638,"Low-Hazard Indian Dam Safety Deferred Maintenance Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Community and Regional Development,Area and regional development,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5639,"Indian Irrigation Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Community and Regional Development,Area and regional development,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5648,"Power Systems, Indian Irrigation Projects, Bureau of Indian Affairs",Department of the Interior,Community and Regional Development,Area and regional development,28047747.07,11035730.51,89949741.84,0,0,0,0,129033219.42,103783748.35,1035730.51,25249471.07,96728455.57,129033219.42,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5656,"Colorado River Dam Fund, Boulder Canyon Project, Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,74529758.44,1365687.31,84536902.41,0,0,0,0,160432348.16,82383001.86,1365687.31,78049346.3,83083392.89,160432348.16,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5663,"Educational Expenses, Children of Employees, Yellowstone National Park, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,17677.81,0,0,0,0,0,0,17677.81,0,0,17677.81,0,17677.81,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5666,"Payment for Tax Losses on Land Acquired for Grand Teton National Park, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,41,0,14934.82,0,0,0,0,14975.82,14975.82,0,0,14975.82,14975.82,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5668,"Blackfeet Water Settlement Implementation Fund, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,208647000,0,0,0,0,0,0,208647000,0,0,208647000,0,208647000,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5670,"Trust Land Consolidation Fund, Bureau of Trust Funds Administration, Interior",Department of the Interior,Community and Regional Development,Area and regional development,2948552.06,166128.52,0,0,0,0,0,3114680.58,2528885.43,166128.52,585795.15,3744434.05,3114680.58,2023-11-13
Department of the Interior,Department of the Interior;Department of Transportation,FY2023P12,014-5715,"National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,1565998239.94,226548697.21,1687130416.23,0,0,0,0,3479677353.38,986990645.1,226548697.21,2492686708.28,562198364.61,3479677353.38,2023-11-14
Department of the Interior,Department of the Interior,FY2023P12,014-5740,"Selis-Qlispe Ksanka Settlement Trust Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Community and Regional Development,Area and regional development,0,156946742.76,90000000,0,0,0,0,246946742.76,246936742.76,10000,10000,246936742.76,246946742.76,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5762,"National Park Medical Services Fund, National Park Service, Interior",Department of the Interior,Natural Resources and Environment,Recreational resources,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5884,"Payments to Counties, Oregon and California Grant Lands, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,2674802,0,26966260.74,0,0,0,0,29641062.74,25429183.74,0,4211879,25429183.74,29641062.74,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5896,"Payments to Counties, National Grasslands, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,186724.74,0,485366.76,0,0,0,0,672091.5,461961.76,0,210129.74,461961.76,672091.5,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-5898,"Payments to Coos and Douglas Counties, Oregon, from Receipts, Coos Bay Wagon Road Grant Lands, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,3884164.26,0,220043.07,0,0,0,0,4104207.33,207501.07,0,3896706.26,207501.07,4104207.33,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-8030,"Tribal Trust Fund, Bureau of Trust Funds Administration, Interior",Department of the Interior,Community and Regional Development,Area and regional development,653059688.29,0,1317406864.85,0,0,0,0,1970466553.14,1671938858.65,0,298527694.49,1671938858.65,1970466553.14,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-8037,"Donations, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,134284836.55,934782.19,82819614.98,0,0,0,0,218039233.72,82894858.51,934782.19,135144375.21,60936022.45,218039233.72,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-8052,"Preservation, Birthplace of Abraham Lincoln, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,68212.5,0,3442.5,0,0,0,0,71655,0,0,71655,0,71655,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-8069,"Land and Resources Management Trust Fund, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,76376346.54,569907.22,23066199.1,0,0,0,0,100012452.86,23375313.13,569907.22,76637139.73,22956645.91,100012452.86,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-8070,"Reclamation Trust Funds, Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,1313427.24,0,327648.01,0,0,0,0,1641075.25,318438.03,0,1322637.22,325365.53,1641075.25,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-8151,"Sport Fish Restoration Account, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Recreational resources,254100842.28,45169641.15,517616031.82,0,0,0,0,816886515.25,526655683.82,45169641.15,290230831.43,463909558.95,816886515.25,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-8216,"Contributed Funds, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,16265308.51,98312.27,3856188.4,0,0,0,0,20219809.18,3459571.45,98312.27,16760237.73,3162681.81,20219809.18,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-8361,"Gifts and Donations, Bureau of Indian Affairs",Department of the Interior,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",2515348.44,191064.03,2422123.7,0,0,0,0,5128536.17,1186968.43,191064.03,3941567.74,1290197.55,5128536.17,2023-11-13
